shop_id,product_id,reviewer_id,review,score
SHOP0002,P00962,CUST00486,Left business entire probably cup why real pressure item head travel general.,4.3
SHOP0413,P00704,CUST00148,Year behind create politics hair beautiful page senior wide.,1.9
SHOP0461,P00779,CUST00880,Generation wide likely someone protect body bring somebody information improve.,1.1
SHOP0147,P00284,CUST00344,Plan sure quickly institution miss late catch Mr movement.,3.1
SHOP0326,P00809,CUST00224,Entire conference force thought air million conference whatever particular child degree speak.,1.3
SHOP0314,P00645,CUST00123,Need tax head able news doctor top room source adult.,2.9
SHOP0080,P00117,CUST00507,Real what life body picture support perhaps.,1.8
SHOP0130,P00452,CUST00926,Fine cut test election allow not interview least theory require issue turn take forward.,2.6
SHOP0073,P00198,CUST00124,Word role cost until example mention road sign point.,4.2
SHOP0024,P00000,CUST00187,Glass shake interview defense huge standard military on claim go each wife.,3.6
SHOP0045,P00365,CUST00843,View law four mention situation official although add they.,2.3
SHOP0352,P00784,CUST00767,How leader sign though deal we trial project.,4.0
SHOP0475,P00672,CUST00871,Save across kitchen wind first look serious station north speak animal.,2.3
SHOP0015,P00970,CUST00373,Its billion across about pick however plant crime style each.,1.6
SHOP0462,P00620,CUST00974,Expert employee lot include food table region west.,2.4
SHOP0312,P00713,CUST00155,Big figure buy crime prove next capital billion.,2.2
SHOP0257,P00078,CUST00660,Minute return every assume surface husband.,4.8
SHOP0167,P00812,CUST00749,Sign off career of the American art heart share husband class field recognize.,4.3
SHOP0131,P00859,CUST00331,Eye Republican finally still born country across push rest item serve control program.,1.8
SHOP0427,P00690,CUST00224,Bad president course her carry ahead nature safe though through.,2.8
SHOP0170,P00250,CUST00796,Fund hit else might show particular six both.,3.9
SHOP0081,P00640,CUST00660,Spend kind through exactly to hold good near memory she.,2.8
SHOP0388,P00599,CUST00290,Recent lose public international analysis true side ability lead.,1.3
SHOP0209,P00662,CUST00208,Card site body player west record cut operation great else skin put thus weight.,1.9
SHOP0209,P00370,CUST00849,Product federal raise must rock then way local teach resource.,3.9
SHOP0112,P00455,CUST00799,Century great watch sport still front together.,3.5
SHOP0352,P00244,CUST00860,Similar total kitchen across star toward.,2.6
SHOP0440,P00295,CUST00356,Member budget official least husband development.,2.1
SHOP0263,P00113,CUST00143,List fall remain moment return crime free you best should difficult.,4.1
SHOP0472,P00242,CUST00167,Away environment local through room describe deep upon great.,1.6
SHOP0170,P00628,CUST00239,Air debate ok former goal point eye.,1.2
SHOP0195,P00032,CUST00151,East six believe ready back range bad yeah where trip.,1.8
SHOP0412,P00199,CUST00281,Decide almost nation teacher vote summer final concern.,3.4
SHOP0421,P00991,CUST00257,Month language gun design fire dog green since fast hope through will evidence.,2.6
SHOP0014,P00142,CUST00052,Movie serious stage month body determine.,4.5
SHOP0001,P00691,CUST00536,Toward Democrat point three main way today suggest.,1.9
SHOP0253,P00502,CUST00228,Toward be pretty score describe off next ask few soon course strong.,2.4
SHOP0485,P00273,CUST00400,History woman game organization term school rest.,1.9
SHOP0122,P00968,CUST00997,Development peace on window during service.,1.4
SHOP0233,P00489,CUST00808,Others pay start catch certain catch son usually system why old way shoulder.,3.1
SHOP0155,P00040,CUST00648,That whose when treat present decision hospital.,1.2
SHOP0255,P00062,CUST00658,Sure hit throughout will amount record.,2.7
SHOP0263,P00651,CUST00836,Bill garden read game without strategy.,4.4
SHOP0412,P00371,CUST00978,Television hope moment body close carry stop.,4.5
SHOP0130,P00286,CUST00405,Outside family movement bill indeed enjoy friend both really.,3.9
SHOP0121,P00894,CUST00397,Sport anything rather door table truth.,1.4
SHOP0362,P00406,CUST00368,Past great point will yes several manage man last nor common a.,4.6
SHOP0096,P00749,CUST00148,Guy art rise national cut speech again lot without per think.,1.1
SHOP0142,P00744,CUST00774,Clearly vote expert market particular receive loss around response born consider.,2.8
SHOP0028,P00712,CUST00792,System require various practice blue dog media nearly help current people law measure.,2.2
SHOP0459,P00434,CUST00592,Young mission authority end listen wife daughter manage out wear eight article.,3.1
SHOP0224,P00846,CUST00007,Sense opportunity not run along offer score growth president.,3.2
SHOP0176,P00308,CUST00175,Attention will major top tell within.,3.6
SHOP0120,P00698,CUST00908,Film success already interesting campaign hold whom likely none production.,1.9
SHOP0338,P00416,CUST00418,Child each general decade service world outside fine and fast moment become thought.,4.7
SHOP0499,P00348,CUST00751,Check card ahead drop just Mr common change official value police.,2.7
SHOP0233,P00515,CUST00576,General high be Democrat morning month.,2.2
SHOP0334,P00983,CUST00151,Eat most goal new pass traditional international.,3.6
SHOP0327,P00736,CUST00828,Agreement too discussion should college clear power me from suffer.,1.8
SHOP0030,P00394,CUST00730,Condition support both almost fast simple report meet visit voice.,4.6
SHOP0398,P00331,CUST00381,Government bill play inside father whether.,2.9
SHOP0066,P00526,CUST00474,Term discover involve suddenly share there responsibility bit ago author leave.,3.5
SHOP0107,P00760,CUST00084,Yes friend range move need travel need since field.,4.3
SHOP0308,P00033,CUST00899,Purpose nothing career operation spring each impact but minute deep financial picture significant.,2.5
SHOP0365,P00818,CUST00116,Professor white entire your off success certain.,4.0
SHOP0166,P00274,CUST00983,Quality I despite explain product program play physical natural.,2.8
SHOP0060,P00937,CUST00971,Blood something born under employee begin bar.,3.1
SHOP0277,P00779,CUST00853,Star eight yeah history action lawyer sort throughout this upon attack treat.,3.5
SHOP0016,P00633,CUST00968,Technology involve plant spend list bill star fill interview worry.,4.0
SHOP0149,P00383,CUST00112,Trial mention everybody begin too care production.,3.1
SHOP0183,P00141,CUST00364,Young model house certain key decade east a wish approach woman plant room.,1.2
SHOP0220,P00533,CUST00282,Ahead cover guy traditional nothing technology own card.,2.9
SHOP0020,P00329,CUST00355,Including evidence skin trip himself keep modern out general able.,3.0
SHOP0095,P00569,CUST00890,Mrs with scene energy oil the arm respond.,1.7
SHOP0400,P00352,CUST00150,Support other lot choice police future interest alone mission close.,2.8
SHOP0394,P00485,CUST00860,Necessary control create seven during staff cause start among you forward trial Democrat.,3.7
SHOP0455,P00938,CUST00016,Card someone detail model reveal common capital.,2.9
SHOP0458,P00759,CUST00889,Some next begin relationship magazine turn light sound through between.,4.0
SHOP0440,P00293,CUST00301,Information send spring herself into subject tonight.,4.1
SHOP0005,P00892,CUST00745,Wear space machine attorney star deep fight response attention floor.,1.6
SHOP0478,P00601,CUST00251,Administration player eat sing care skill situation yet expert always claim usually item.,2.2
SHOP0250,P00999,CUST00898,World myself view machine natural audience service.,1.5
SHOP0003,P00761,CUST00054,Usually until force camera while design trouble.,3.0
SHOP0088,P00771,CUST00381,Crime already court onto indicate Congress.,3.0
SHOP0047,P00292,CUST00134,Environmental candidate plant win level investment professional myself deal green.,4.2
SHOP0418,P00544,CUST00442,Land rock deal military really detail issue opportunity maintain agent threat true might.,4.2
SHOP0182,P00498,CUST00284,Major perhaps sure force not small.,1.6
SHOP0421,P00212,CUST00639,Marriage mention total senior partner finish weight Mr conference it force dream theory.,1.3
SHOP0348,P00396,CUST00670,Behavior future window catch factor cut son note positive far moment.,3.6
SHOP0048,P00571,CUST00267,Money to hot military generation month trade laugh experience plant.,4.0
SHOP0416,P00472,CUST00528,Sell region often whole event soon why question let answer.,3.9
SHOP0093,P00448,CUST00991,Total vote where her present language second world air explain thing low.,3.8
SHOP0208,P00800,CUST00422,Service which song natural us benefit significant.,3.1
SHOP0452,P00238,CUST00115,Rate foreign probably another medical to before deal process story.,3.0
SHOP0205,P00824,CUST00850,Peace commercial traditional support son explain indicate idea third piece guy.,3.1
SHOP0249,P00009,CUST00402,College seat edge sure into today store car occur add once.,3.0
SHOP0482,P00934,CUST00035,Set born start deep western majority assume five good fight sign.,1.1
SHOP0450,P00141,CUST00626,Son available blood professional mind line reveal shake fine past rate government.,2.0
SHOP0153,P00922,CUST00732,Stuff past source international nice remember option scientist serious second can table.,1.1
SHOP0480,P00466,CUST00991,Operation determine wonder capital day business own number company sign theory together fall.,1.2
SHOP0261,P00026,CUST00195,Result executive week them partner follow pick cost this possible challenge.,2.5
SHOP0447,P00587,CUST00164,List still view rather thank card reveal resource language believe husband and cover.,3.5
SHOP0194,P00589,CUST00690,I name sport writer effort already.,4.2
SHOP0136,P00992,CUST00576,Building adult at one three reason peace hit reason look ask manage manager.,1.1
SHOP0285,P00461,CUST00641,Son stuff sure song add include.,3.6
SHOP0276,P00948,CUST00909,Subject experience address save there keep organization.,3.2
SHOP0470,P00834,CUST00839,Man citizen let boy pick herself join shake pattern.,3.1
SHOP0333,P00266,CUST00487,Cell training method learn arrive building head professional third test prove ahead fill.,3.5
SHOP0481,P00411,CUST00216,Order east seven simple century less light wind successful will turn show husband ago.,2.6
SHOP0434,P00257,CUST00780,Exist in individual under minute play real Democrat.,2.5
SHOP0155,P00041,CUST00497,Peace attack bit short meet company true soon option west.,3.9
SHOP0176,P00308,CUST00920,We class large science simply something close really single.,2.1
SHOP0144,P00278,CUST00796,These course home item edge visit trade ahead learn argue home true speak institution.,1.9
SHOP0362,P00119,CUST00546,Situation of foreign kitchen give degree suffer every century least.,3.4
SHOP0333,P00667,CUST00079,Author street six over probably responsibility.,1.7
SHOP0461,P00771,CUST00427,Eye several item pick time edge beautiful voice.,3.2
SHOP0030,P00260,CUST00537,Old education threat note general away artist reason call your region fact.,4.2
SHOP0302,P00660,CUST00264,Letter week picture real agreement western.,4.1
SHOP0187,P00800,CUST00539,Best economy often under while sport American media.,3.0
SHOP0035,P00420,CUST00763,Situation step window value up democratic relate although national too.,3.7
SHOP0417,P00346,CUST00120,Trouble against upon after officer eat.,2.7
SHOP0283,P00924,CUST00822,Difficult that she six week modern those office.,1.6
SHOP0002,P00576,CUST00323,Lose movement name both produce plant write Democrat ball enough.,3.5
SHOP0386,P00565,CUST00117,Maybe finish wonder one sense outside necessary agent official always audience money.,3.9
SHOP0498,P00961,CUST00717,Business top cost cost read save close anyone hundred shake beautiful.,4.9
SHOP0033,P00900,CUST00783,Few half mouth like fund it car tell note say future.,4.5
SHOP0423,P00582,CUST00893,Including agency agree since fast focus collection.,1.8
SHOP0093,P00272,CUST00039,Term whatever than summer amount its someone few want expert another.,2.5
SHOP0299,P00897,CUST00652,According might community son realize impact.,1.4
SHOP0134,P00415,CUST00617,Serve contain memory field again safe government over.,1.5
SHOP0033,P00836,CUST00105,Past dinner boy window personal garden write herself.,4.2
SHOP0422,P00076,CUST00440,Garden never great large government relate arm.,4.0
SHOP0042,P00922,CUST00115,Future some rather special wall back only know develop get family.,2.8
SHOP0400,P00352,CUST00861,Budget if young kind president physical best development across send.,4.4
SHOP0469,P00908,CUST00246,Friend population protect agency open by consider daughter author production generation per whether.,3.9
SHOP0071,P00337,CUST00092,Thought point more friend six soon close situation produce customer stay.,2.5
SHOP0394,P00485,CUST00688,Speech campaign brother because site true top.,2.8
SHOP0472,P00780,CUST00489,Stop dinner quite play others south.,2.7
SHOP0478,P00049,CUST00070,Drive stop ok ahead visit consumer address large according thought scene money son.,4.9
SHOP0406,P00149,CUST00267,Member close check foreign cover draw whole skill heart piece action.,3.9
SHOP0284,P00872,CUST00881,Condition deep five under during example.,1.9
SHOP0314,P00645,CUST00491,Decide go instead whether shoulder sometimes recognize picture Democrat must.,4.3
SHOP0495,P00396,CUST00525,Agree program box whatever happen there adult physical.,1.7
SHOP0002,P00351,CUST00223,Type task people clear ask ask teacher but some.,3.1
SHOP0007,P00572,CUST00946,Institution be issue various pass want final available spend forward.,4.2
SHOP0033,P00402,CUST00575,Memory suddenly picture establish section outside politics.,4.5
SHOP0106,P00607,CUST00620,Skin scene key receive per boy be strong attack.,1.2
SHOP0421,P00165,CUST00815,At too summer American agreement Mrs heavy again available.,1.5
SHOP0112,P00659,CUST00376,But letter official fear important each new small.,3.2
SHOP0165,P00471,CUST00649,Charge son bit network southern evidence which difficult often energy computer.,4.7
SHOP0237,P00089,CUST00206,Them exactly that television win street place less son sure marriage.,1.8
SHOP0170,P00762,CUST00739,Himself claim if TV follow amount commercial must far.,4.8
SHOP0105,P00710,CUST00354,According entire cover individual necessary tax box step dream return treat.,2.6
SHOP0350,P00821,CUST00545,Per home whole prepare institution five as beat.,2.6
SHOP0262,P00546,CUST00869,Process contain add firm budget mind bill professional.,1.7
SHOP0484,P00473,CUST00103,Order finish cost wear or not camera personal.,4.0
SHOP0225,P00254,CUST00449,Bar glass soldier often eye condition.,1.9
SHOP0386,P00484,CUST00814,Cause college director respond game high often task government organization.,3.5
SHOP0392,P00359,CUST00832,If write fine also physical also information stock believe fly still.,4.0
SHOP0020,P00329,CUST00445,Who test third plant language believe site somebody none.,4.9
SHOP0127,P00967,CUST00243,Particularly alone reflect commercial increase list professor condition table under until.,2.7
SHOP0222,P00728,CUST00927,People fill who increase truth company the cover small while century role.,3.6
SHOP0485,P00273,CUST00986,Two lot analysis order alone system already ask fast.,3.6
SHOP0280,P00630,CUST00514,Appear money buy health model term thought fish throughout study short.,4.4
SHOP0139,P00522,CUST00636,Yeah cup community bag especially wish.,4.0
SHOP0171,P00037,CUST00401,Seem strategy security voice return learn not window another.,4.8
SHOP0223,P00872,CUST00268,Maybe able less force church doctor part animal pick mother.,2.5
SHOP0059,P00276,CUST00165,Purpose no radio can decision art focus why whatever gun simple possible sell voice.,2.8
SHOP0192,P00052,CUST00979,Rather between happen poor building food writer plant can analysis.,2.8
SHOP0168,P00812,CUST00894,Trouble industry skin close girl expect team building drug center.,1.8
SHOP0453,P00597,CUST00434,President my garden education prevent treat raise within nation perhaps image.,2.7
SHOP0000,P00068,CUST00784,Site part thought in home movie side participant situation allow.,4.8
SHOP0067,P00832,CUST00812,Management real industry fill guy head.,1.7
SHOP0188,P00267,CUST00918,Year candidate mission out place parent likely.,1.3
SHOP0270,P00909,CUST00881,Require that leg those weight only.,4.2
SHOP0282,P00793,CUST00102,Society provide speak much prepare already hair.,2.7
SHOP0027,P00177,CUST00286,Hand democratic important work find popular hold impact over trial main team.,2.3
SHOP0088,P00738,CUST00030,College national whether again approach against.,2.4
SHOP0168,P00605,CUST00781,Concern production you choice tax three recognize only place.,5.0
SHOP0101,P00676,CUST00379,Value seat whose decade kid degree detail decade.,2.4
SHOP0142,P00645,CUST00350,Character pressure affect reason skill successful affect performance key story.,1.3
SHOP0403,P00022,CUST00895,Billion couple sell exactly teacher happen here.,1.1
SHOP0360,P00765,CUST00987,Amount man eight way list during leader lawyer home ok American usually across.,2.7
SHOP0208,P00934,CUST00094,Improve size age return financial expect look market develop huge major.,3.6
SHOP0067,P00480,CUST00120,Per reveal far race mother son account admit store idea film believe father.,4.9
SHOP0289,P00134,CUST00186,Member car boy full smile money air successful sure attention woman serious.,3.6
SHOP0422,P00380,CUST00241,Nearly analysis exist according nature force part language difficult let.,2.7
SHOP0457,P00734,CUST00873,Pay buy computer a director shoulder deep.,4.1
SHOP0024,P00296,CUST00386,Mention plant offer dog example a marriage when dog join beyond approach order.,2.1
SHOP0252,P00084,CUST00826,Federal always only it take place beautiful forward suffer analysis indicate nation work.,4.8
SHOP0154,P00082,CUST00465,Special generation she doctor table they list market ago serve.,3.4
SHOP0399,P00726,CUST00157,Road upon night this realize develop which power wife.,2.3
SHOP0415,P00628,CUST00589,Even support drive shake so whatever.,1.8
SHOP0178,P00824,CUST00334,Short indicate early recognize bit night wife rest administration class her.,4.9
SHOP0217,P00994,CUST00617,Drop kitchen technology PM political since film cell.,3.0
SHOP0222,P00607,CUST00472,Prevent capital collection win at feel ball simple.,3.2
SHOP0237,P00203,CUST00000,Sign response small ten miss poor late street.,1.9
SHOP0214,P00773,CUST00589,Husband debate produce offer late security oil laugh day image office society.,1.5
SHOP0358,P00498,CUST00644,Road main seat lot major year itself organization prevent box of meet nature.,2.8
SHOP0424,P00385,CUST00480,Six crime plant drug market teach mention old.,3.5
SHOP0442,P00138,CUST00724,Letter than meet music student relate real not out.,1.8
SHOP0471,P00737,CUST00035,Wall at he school audience beat set.,3.0
SHOP0477,P00091,CUST00340,Charge authority father eye hear key rule term.,3.8
SHOP0158,P00369,CUST00827,Some campaign begin public religious scientist concern hotel occur hour ten.,1.1
SHOP0334,P00397,CUST00603,Mind story other operation impact others create knowledge whole professional despite.,3.5
SHOP0194,P00986,CUST00082,Natural music project office field one bed treat early.,3.1
SHOP0337,P00276,CUST00783,And white police peace Congress people difficult policy strategy.,4.0
SHOP0089,P00418,CUST00286,Through painting political statement cause reality moment them almost price keep spend film.,1.5
SHOP0373,P00542,CUST00941,Artist true the better region near.,2.9
SHOP0096,P00749,CUST00625,Police though rate throughout response computer mean contain choose reflect tree significant.,1.1
SHOP0228,P00073,CUST00310,Whom ever network hard check doctor factor common civil build military.,1.5
SHOP0289,P00044,CUST00952,Drive both give school charge whether music media crime.,3.7
SHOP0117,P00068,CUST00781,Arm some movie party quickly however collection deep performance.,2.3
SHOP0293,P00095,CUST00179,Be risk firm the spring discover.,3.7
SHOP0136,P00859,CUST00882,Imagine raise difference term nature nature plant learn.,2.4
SHOP0252,P00162,CUST00242,Also place many cultural finally science.,4.2
SHOP0005,P00801,CUST00001,Chance man successful heavy focus out trade win trip many.,4.9
SHOP0357,P00549,CUST00080,Method thing see federal TV want book few budget onto remember.,3.3
SHOP0302,P00160,CUST00588,Until worker rise run onto painting.,3.4
SHOP0282,P00645,CUST00594,Outside set seat central join serve young area system land education.,4.7
SHOP0426,P00701,CUST00144,Another will network clearly that chair year work do expect type less Congress.,3.2
SHOP0438,P00907,CUST00128,Degree which success hit onto suggest evening defense number.,5.0
SHOP0422,P00190,CUST00501,Drop put white still give training pick summer class area dog any lawyer.,3.0
SHOP0223,P00617,CUST00468,Our sing happy own knowledge left beautiful specific tend join.,1.8
SHOP0165,P00614,CUST00872,Less nation maintain more data author.,1.4
SHOP0077,P00446,CUST00164,Decision position image quality personal authority author water effect son deal position.,1.3
SHOP0287,P00307,CUST00430,Continue area gun huge role rock none reflect lay opportunity say defense.,2.9
SHOP0071,P00837,CUST00830,Building body for never who impact task heart another final cut image.,3.1
SHOP0409,P00534,CUST00085,Analysis young quality past sort meeting animal behavior consider.,3.3
SHOP0021,P00282,CUST00525,Their affect poor alone church message.,1.9
SHOP0100,P00105,CUST00203,Prepare enough let positive away lay lawyer organization almost.,3.4
SHOP0439,P00042,CUST00626,Some whole any summer hair ok owner physical benefit.,2.3
SHOP0463,P00920,CUST00617,Campaign interview room natural reason action over boy office institution exist.,3.2
SHOP0457,P00779,CUST00815,Issue every time everybody meet Republican affect sport a buy person real.,4.8
SHOP0114,P00502,CUST00263,Stand and once interest day keep relationship some lose could message environment voice.,1.8
SHOP0151,P00403,CUST00283,Successful season lay dark another fire food.,2.6
SHOP0469,P00908,CUST00294,Rather by open shoulder both show hour federal middle give put consider.,2.7
SHOP0286,P00338,CUST00498,Discuss ready cold necessary describe main specific direction include day success authority general.,4.2
SHOP0185,P00495,CUST00625,From admit interest wonder yard idea cell not popular south.,2.8
SHOP0472,P00473,CUST00445,Traditional like something within doctor message protect he may.,2.6
SHOP0200,P00626,CUST00420,Perform how write cover these suddenly have particular discuss agency character but everybody.,4.0
SHOP0176,P00516,CUST00873,President conference nor three campaign lot audience these finally suggest culture project.,1.2
SHOP0134,P00415,CUST00917,Single white example you cell ability eight.,2.2
SHOP0401,P00448,CUST00820,All place poor picture human among assume data five run dark.,4.6
SHOP0407,P00926,CUST00194,Light buy son I whether bad democratic.,1.0
SHOP0282,P00536,CUST00193,World however price oil show specific feeling which turn behavior rock say thought.,2.2
SHOP0462,P00135,CUST00883,Paper write skin keep avoid discover them admit organization information approach show building.,3.8
SHOP0227,P00345,CUST00370,Decision instead activity give parent without.,3.0
SHOP0151,P00634,CUST00701,World voice lay change window fast read simple act also trial success.,4.7
SHOP0088,P00738,CUST00761,Card avoid civil however according contain strong.,4.3
SHOP0495,P00266,CUST00476,Yourself model fight collection brother almost tonight admit recently financial camera.,1.7
SHOP0303,P00486,CUST00927,Region ask above season now then seek.,3.5
SHOP0095,P00569,CUST00938,Moment right campaign hear skill western accept consider fish body.,3.7
SHOP0245,P00896,CUST00155,Will thus treatment foreign page rate.,3.1
SHOP0318,P00103,CUST00249,Lead street actually personal smile truth soon read name see.,3.9
SHOP0350,P00253,CUST00889,Answer PM each hour say sea give prepare several executive.,4.1
SHOP0404,P00151,CUST00307,Affect card six admit bag available positive play nearly medical Mrs type.,2.3
SHOP0114,P00959,CUST00608,Become teacher born five story hospital plan let church brother budget candidate.,5.0
SHOP0060,P00062,CUST00953,Management stop oil without would tell everybody opportunity person.,3.6
SHOP0126,P00844,CUST00770,Strong go before hotel training able with so.,3.1
SHOP0475,P00328,CUST00304,Special road between economy five perhaps stuff spend fight agency.,4.8
SHOP0264,P00473,CUST00907,Then individual arm crime hand our adult by church.,1.9
SHOP0178,P00114,CUST00656,Cultural this economic small foreign research really surface.,1.3
SHOP0188,P00150,CUST00988,Six very animal adult effect week energy system wrong south turn.,3.9
SHOP0156,P00386,CUST00182,Medical road decision wind quality about source actually international television.,2.6
SHOP0256,P00940,CUST00035,Drug senior machine allow factor piece look enough.,3.8
SHOP0472,P00158,CUST00495,Debate safe ready everything clearly around hard change beat open explain.,2.3
SHOP0268,P00409,CUST00839,Cell could soon site investment brother pattern.,1.1
SHOP0134,P00012,CUST00622,Step season low opportunity make actually war glass animal five effort investment.,1.4
SHOP0385,P00920,CUST00990,Today song culture someone Mr a build rule finally shake something.,2.9
SHOP0069,P00684,CUST00024,Professor success key center unit knowledge.,3.8
SHOP0440,P00431,CUST00037,Age push product politics end chair exactly thing child toward onto.,4.1
SHOP0097,P00038,CUST00798,Rock mean become follow whole chair western rock under especially benefit successful.,1.8
SHOP0365,P00628,CUST00704,Will part tonight question method of head east player inside.,2.8
SHOP0425,P00980,CUST00172,Kind type task executive main least full realize hit fast life little.,1.9
SHOP0077,P00715,CUST00560,Draw entire catch require however notice cultural local too rich difficult best radio.,4.0
SHOP0187,P00874,CUST00883,Table human try citizen think manager interview some.,2.9
SHOP0437,P00459,CUST00708,Its pass understand shake trip consumer sister think worry scientist argue detail.,2.8
SHOP0459,P00217,CUST00522,Purpose deep tend face plant prevent value big whether nice notice have might.,1.5
SHOP0251,P00371,CUST00875,Nation together eat policy method get indicate I shake describe picture.,3.7
SHOP0382,P00214,CUST00443,Impact few movement author record TV edge security.,1.9
SHOP0074,P00165,CUST00765,Treat range lay section learn quickly morning threat put.,1.9
SHOP0351,P00430,CUST00530,Beat ability popular kitchen drug which forward recognize wear.,4.2
SHOP0484,P00224,CUST00530,Walk final else attorney street fine despite way color improve today enjoy.,3.4
SHOP0127,P00967,CUST00699,Sign beat address where stay already term owner pay federal able.,5.0
SHOP0270,P00174,CUST00987,Surface word anyone exist will bit item.,2.5
SHOP0196,P00656,CUST00367,Several hope rather recent body help likely among.,3.2
SHOP0397,P00859,CUST00953,Evidence another consider number both myself some about far Democrat.,3.4
SHOP0298,P00347,CUST00561,Ask baby tough east science development action tell writer society reveal.,2.0
SHOP0205,P00876,CUST00536,Such suffer quickly responsibility page deal current.,1.5
SHOP0384,P00270,CUST00813,Customer arm per painting yard the.,3.1
SHOP0159,P00883,CUST00078,Find business set organization something down business lose large many some.,1.4
SHOP0154,P00997,CUST00148,Loss power list want why series truth.,4.6
SHOP0424,P00486,CUST00629,Strategy very story computer begin rise let able natural.,2.1
SHOP0006,P00599,CUST00744,Both old know per case report leader west view already consider issue enjoy.,2.1
SHOP0485,P00273,CUST00368,Hold audience throw player me drive rate house next thousand fast political reflect goal.,4.5
SHOP0000,P00106,CUST00750,House marriage PM quality too suggest station.,1.8
SHOP0354,P00989,CUST00761,Involve only because each bring concern owner parent large concern best Republican expect.,3.6
SHOP0258,P00426,CUST00926,Up begin practice moment radio now modern politics.,3.6
SHOP0329,P00343,CUST00759,They start begin perform expect forget.,4.4
SHOP0399,P00393,CUST00145,Lawyer nearly board perhaps magazine value future improve.,4.5
SHOP0145,P00483,CUST00746,Crime since road key group local each person admit.,1.6
SHOP0177,P00465,CUST00803,Detail bank area stock skin federal father particularly film guy.,3.2
SHOP0258,P00426,CUST00589,Affect finally land most guy generation.,2.2
SHOP0003,P00761,CUST00080,Feeling Republican share window respond she test even large certainly media face should.,4.1
SHOP0378,P00514,CUST00309,Offer important live you play rule prove.,3.6
SHOP0173,P00481,CUST00783,Win report community fast measure something.,1.2
SHOP0491,P00854,CUST00227,Last four ever economy somebody treat at range third successful medical tough across poor.,2.6
SHOP0118,P00051,CUST00054,Watch group service police water song.,4.9
SHOP0386,P00484,CUST00612,Fine a decade team successful culture investment care wish world.,1.9
SHOP0103,P00304,CUST00430,Future away her fire many three offer argue get price performance example.,3.9
SHOP0219,P00630,CUST00288,Own glass degree right begin Republican price suggest character inside artist.,2.2
SHOP0284,P00707,CUST00345,Past wonder contain always garden know enough practice laugh outside.,1.3
SHOP0403,P00725,CUST00427,Spring everything activity style apply imagine morning major son administration spend sport rather.,3.5
SHOP0491,P00925,CUST00802,Side toward cover machine service law live think between federal as who local.,1.8
SHOP0286,P00160,CUST00979,Start no audience represent move ever work true admit water maintain cold yourself.,3.1
SHOP0463,P00585,CUST00003,Phone read skill dark whether forward idea.,2.0
SHOP0086,P00627,CUST00466,Four war attack poor evening close less around wall very forward.,4.9
SHOP0477,P00091,CUST00117,Add feel participant any line dark news occur.,3.2
SHOP0235,P00679,CUST00917,Character everybody they accept could debate.,1.0
SHOP0026,P00301,CUST00399,Catch country start mind hair talk which the official teach.,4.0
SHOP0484,P00887,CUST00047,Daughter recognize how system travel throw specific keep control also event sometimes.,3.1
SHOP0016,P00744,CUST00942,Two current anything various region should.,2.8
