s_id,p_id,value,currency,stock,score
SHOP0108,P00098,256.76,USD,331,0.7
SHOP0257,P00222,898.12,USD,390,2.5
SHOP0081,P00272,136.54,USD,205,0.9
SHOP0089,P00371,824.82,GBP,23,3.9
SHOP0224,P00473,389.91,GBP,88,1.0
SHOP0089,P00825,972.88,EUR,416,4.3
SHOP0125,P00865,951.45,USD,98,2.9
SHOP0480,P00939,371.43,GBP,435,1.1
SHOP0198,P00877,144.18,GBP,446,3.2
SHOP0013,P00546,652.37,GBP,7,2.6
SHOP0085,P00112,135.36,EUR,38,1.1
SHOP0065,P00967,835.76,GBP,323,2.5
SHOP0117,P00048,415.84,TRY,387,0.2
SHOP0011,P00990,339.42,USD,58,2.9
SHOP0087,P00944,133.5,EUR,118,1.3
SHOP0133,P00003,622.73,EUR,71,4.9
SHOP0154,P00532,746.36,TRY,109,2.3
SHOP0330,P00209,878.66,EUR,58,2.9
SHOP0395,P00142,519.38,USD,112,1.9
SHOP0236,P00775,873.43,GBP,202,2.3
SHOP0343,P00525,504.07,USD,400,1.8
SHOP0453,P00890,964.75,USD,493,2.7
SHOP0023,P00331,114.83,USD,190,3.1
SHOP0383,P00995,982.24,USD,75,1.3
SHOP0492,P00998,117.05,TRY,367,1.6
SHOP0291,P00851,961.84,TRY,188,2.4
SHOP0271,P00120,411.92,EUR,143,1.1
SHOP0405,P00464,772.38,USD,352,1.4
SHOP0179,P00061,896.66,GBP,366,0.3
SHOP0328,P00190,344.51,USD,263,4.9
SHOP0490,P00095,658.18,GBP,430,3.9
SHOP0009,P00516,119.29,GBP,218,3.7
SHOP0201,P00617,890.66,GBP,457,0.7
SHOP0269,P00142,333.13,EUR,48,2.3
SHOP0435,P00253,180.74,EUR,46,2.4
SHOP0076,P00096,538.32,TRY,180,3.2
SHOP0407,P00108,434.68,GBP,21,3.3
SHOP0202,P00392,106.47,GBP,474,4.6
SHOP0259,P00627,935.23,TRY,346,3.3
SHOP0200,P00458,832.03,TRY,100,4.1
SHOP0161,P00092,619.08,USD,45,3.2
SHOP0106,P00065,717.8,GBP,371,1.3
SHOP0075,P00150,218.06,TRY,206,3.9
SHOP0245,P00485,335.93,GBP,439,2.0
SHOP0157,P00372,748.82,TRY,86,1.0
SHOP0328,P00487,589.53,USD,184,1.0
SHOP0215,P00005,263.6,EUR,156,0.8
SHOP0029,P00032,372.7,GBP,280,3.0
SHOP0222,P00938,893.26,TRY,379,2.1
SHOP0110,P00466,84.69,USD,475,3.6
SHOP0235,P00336,895.6,USD,205,2.7
SHOP0232,P00117,782.42,GBP,332,2.5
SHOP0045,P00151,932.49,USD,16,0.9
SHOP0066,P00526,483.88,GBP,38,3.9
SHOP0177,P00097,501.54,USD,271,4.7
SHOP0002,P00962,987.64,TRY,276,1.2
SHOP0497,P00502,539.96,TRY,359,3.6
SHOP0022,P00810,536.52,EUR,159,0.3
SHOP0196,P00276,476.47,USD,246,0.2
SHOP0172,P00227,761.12,GBP,264,0.0
SHOP0204,P00863,465.4,GBP,368,4.7
SHOP0052,P00387,463.87,USD,11,0.1
SHOP0140,P00950,947.59,GBP,309,1.3
SHOP0041,P00553,708.76,TRY,138,2.8
SHOP0372,P00842,579.33,TRY,245,0.9
SHOP0059,P00741,335.48,TRY,116,3.8
SHOP0328,P00121,153.78,GBP,393,2.4
SHOP0142,P00854,562.01,USD,142,3.6
SHOP0403,P00715,251.14,TRY,214,4.5
SHOP0038,P00089,535.48,TRY,364,4.5
SHOP0287,P00218,489.99,GBP,331,4.1
SHOP0405,P00945,830.1,USD,103,1.7
SHOP0231,P00596,868.52,TRY,51,0.5
SHOP0153,P00833,329.74,TRY,40,3.1
SHOP0048,P00620,232.17,USD,23,3.8
SHOP0081,P00935,386.17,GBP,90,4.8
SHOP0322,P00773,906.56,EUR,281,2.0
SHOP0321,P00289,333.47,USD,482,2.6
SHOP0239,P00121,320.9,EUR,136,4.4
SHOP0178,P00789,625.68,GBP,130,3.0
SHOP0402,P00558,550.65,EUR,24,0.6
SHOP0329,P00841,49.31,EUR,367,3.8
SHOP0394,P00158,151.26,TRY,449,1.8
SHOP0184,P00244,331.1,TRY,306,3.9
SHOP0472,P00158,137.9,USD,418,1.4
SHOP0275,P00286,756.05,USD,500,4.0
SHOP0238,P00803,61.79,GBP,183,0.3
SHOP0085,P00702,852.33,EUR,248,4.6
SHOP0370,P00371,109.27,TRY,136,2.5
SHOP0335,P00591,8.99,GBP,121,1.0
SHOP0460,P00623,516.89,GBP,151,2.1
SHOP0298,P00081,561.06,USD,345,2.0
SHOP0237,P00822,334.97,TRY,22,4.4
SHOP0048,P00283,23.63,USD,2,3.7
SHOP0425,P00134,344.58,EUR,239,1.3
SHOP0294,P00570,108.63,GBP,90,2.9
SHOP0094,P00595,157.94,GBP,224,3.3
SHOP0034,P00872,613.69,TRY,74,0.4
SHOP0314,P00789,955.58,USD,230,0.7
SHOP0443,P00343,745.98,TRY,331,3.3
SHOP0303,P00694,418.36,EUR,192,3.0
SHOP0241,P00313,855.77,GBP,294,1.2
SHOP0097,P00984,994.57,EUR,242,0.3
SHOP0045,P00665,323.86,USD,423,4.8
SHOP0081,P00694,635.21,USD,435,4.1
SHOP0365,P00613,699.67,USD,410,2.5
SHOP0097,P00041,922.31,EUR,457,0.9
SHOP0176,P00983,233.95,TRY,23,0.6
SHOP0200,P00231,700.19,EUR,362,1.8
SHOP0077,P00446,519.84,EUR,102,0.5
SHOP0083,P00019,227.49,TRY,412,3.6
SHOP0420,P00830,42.48,EUR,259,4.9
SHOP0475,P00328,767.25,USD,15,0.0
SHOP0494,P00415,627.49,TRY,44,1.8
SHOP0215,P00178,312.61,GBP,32,2.2
SHOP0048,P00768,517.5,EUR,130,2.2
SHOP0355,P00497,246.86,EUR,343,1.0
SHOP0218,P00403,973.91,EUR,40,2.8
SHOP0241,P00971,224.35,USD,239,1.2
SHOP0313,P00127,785.44,USD,299,2.0
SHOP0068,P00354,482.7,EUR,305,3.0
SHOP0477,P00195,815.79,GBP,450,4.5
SHOP0237,P00563,367.0,TRY,149,3.2
SHOP0235,P00420,31.54,TRY,57,1.3
SHOP0177,P00617,797.37,GBP,44,4.9
SHOP0263,P00113,66.17,TRY,145,3.6
SHOP0002,P00963,589.84,USD,302,2.9
SHOP0438,P00510,507.57,EUR,402,4.7
SHOP0422,P00380,878.21,USD,232,1.6
SHOP0327,P00671,718.02,EUR,173,1.3
SHOP0054,P00018,143.68,TRY,474,3.3
SHOP0186,P00118,808.53,EUR,20,3.1
SHOP0159,P00725,706.28,GBP,70,4.5
SHOP0366,P00529,187.43,USD,171,2.1
SHOP0376,P00485,244.63,TRY,95,0.9
SHOP0354,P00619,208.13,EUR,111,0.4
SHOP0179,P00930,592.97,TRY,66,2.1
SHOP0052,P00951,887.31,USD,150,3.5
SHOP0108,P00512,852.28,USD,244,2.6
SHOP0149,P00873,197.51,EUR,463,4.2
SHOP0369,P00017,906.5,GBP,415,1.1
SHOP0134,P00111,641.78,USD,423,0.7
SHOP0264,P00473,642.5,GBP,299,1.1
SHOP0159,P00251,743.6,GBP,55,2.5
SHOP0475,P00051,229.16,EUR,100,2.2
SHOP0048,P00410,312.35,USD,183,2.2
SHOP0141,P00910,5.23,EUR,389,2.2
SHOP0425,P00240,676.4,USD,340,0.2
SHOP0459,P00488,850.14,GBP,136,4.5
SHOP0000,P00872,581.89,EUR,371,0.5
SHOP0427,P00959,63.94,GBP,313,1.4
SHOP0408,P00902,795.27,USD,237,0.2
SHOP0063,P00124,229.3,GBP,279,4.9
SHOP0444,P00930,655.32,GBP,398,3.5
SHOP0048,P00571,145.63,EUR,447,2.0
SHOP0492,P00024,266.62,TRY,5,2.5
SHOP0187,P00566,547.51,EUR,165,3.0
SHOP0307,P00739,500.72,GBP,412,2.8
SHOP0129,P00741,301.06,GBP,245,2.6
SHOP0240,P00977,665.78,GBP,470,1.0
SHOP0258,P00045,914.17,TRY,62,2.3
SHOP0357,P00025,488.45,EUR,209,2.3
SHOP0391,P00214,489.66,USD,13,3.9
SHOP0211,P00561,704.87,GBP,87,3.5
SHOP0455,P00619,237.81,EUR,314,1.7
SHOP0229,P00210,640.81,USD,60,1.8
SHOP0123,P00076,713.13,EUR,451,3.8
SHOP0415,P00214,307.57,TRY,489,4.3
SHOP0293,P00185,63.45,USD,22,1.4
SHOP0413,P00479,955.64,TRY,467,3.8
SHOP0345,P00300,512.33,TRY,25,0.5
SHOP0174,P00210,806.66,GBP,51,2.8
SHOP0207,P00230,158.76,USD,459,1.4
SHOP0367,P00658,828.79,TRY,488,0.0
SHOP0119,P00904,934.38,EUR,5,1.8
SHOP0110,P00249,281.05,GBP,444,2.0
SHOP0249,P00870,817.13,TRY,384,4.2
SHOP0340,P00350,924.92,GBP,72,1.5
SHOP0439,P00740,400.18,TRY,297,3.8
SHOP0332,P00373,289.2,USD,27,0.7
SHOP0091,P00649,611.98,TRY,326,3.0
SHOP0134,P00606,725.39,TRY,163,0.6
SHOP0178,P00051,649.17,GBP,329,0.6
SHOP0063,P00261,750.65,GBP,245,0.1
SHOP0270,P00174,80.82,EUR,477,1.7
SHOP0054,P00876,553.64,TRY,415,0.5
SHOP0272,P00686,393.81,GBP,291,2.7
SHOP0224,P00927,275.17,GBP,284,4.9
SHOP0285,P00110,521.15,GBP,222,2.2
SHOP0328,P00647,812.48,EUR,272,2.4
SHOP0302,P00754,369.15,GBP,390,2.5
SHOP0167,P00033,550.43,GBP,473,1.4
SHOP0181,P00764,38.43,USD,18,1.1
SHOP0231,P00622,637.58,GBP,461,4.9
SHOP0140,P00201,491.88,GBP,199,0.6
SHOP0073,P00879,609.97,TRY,107,1.1
SHOP0032,P00950,192.96,USD,247,1.2
SHOP0395,P00892,488.09,GBP,202,1.3
SHOP0247,P00924,447.59,USD,362,3.7
SHOP0016,P00394,585.75,USD,435,3.8
SHOP0388,P00396,23.07,GBP,202,1.6
SHOP0307,P00488,224.28,TRY,272,3.7
SHOP0448,P00344,430.89,TRY,223,4.8
SHOP0216,P00535,42.58,USD,111,2.7
SHOP0372,P00554,473.3,TRY,243,4.5
SHOP0374,P00134,351.7,EUR,368,4.7
SHOP0442,P00597,52.87,USD,334,0.5
SHOP0440,P00293,998.37,TRY,138,3.8
SHOP0472,P00242,955.45,GBP,22,4.7
SHOP0331,P00333,286.73,TRY,127,3.3
SHOP0492,P00557,745.93,USD,122,2.6
SHOP0020,P00275,268.44,TRY,32,3.9
SHOP0101,P00818,252.82,GBP,209,3.5
SHOP0296,P00213,141.51,EUR,136,1.3
SHOP0339,P00181,678.85,GBP,134,4.2
SHOP0408,P00542,676.61,USD,238,1.8
SHOP0118,P00841,285.48,USD,465,2.7
SHOP0491,P00925,575.27,USD,9,2.9
SHOP0013,P00331,236.5,EUR,171,1.1
SHOP0331,P00100,225.04,EUR,445,0.2
SHOP0281,P00904,473.62,TRY,324,3.8
SHOP0335,P00210,783.11,EUR,211,4.9
SHOP0053,P00403,979.54,TRY,398,2.9
SHOP0478,P00769,877.23,USD,406,2.9
SHOP0362,P00734,557.19,EUR,133,1.3
SHOP0431,P00709,343.63,TRY,421,3.7
SHOP0398,P00912,330.3,TRY,291,1.4
SHOP0154,P00371,942.01,TRY,383,0.2
SHOP0316,P00138,402.26,GBP,386,0.1
SHOP0432,P00970,747.09,GBP,278,2.8
SHOP0479,P00137,908.77,GBP,83,1.4
SHOP0267,P00124,674.67,GBP,235,1.0
SHOP0188,P00948,381.1,TRY,297,0.2
SHOP0195,P00161,701.47,GBP,252,2.1
SHOP0427,P00593,338.88,USD,151,4.2
SHOP0377,P00626,827.29,TRY,1,3.5
SHOP0490,P00665,789.12,USD,4,2.0
SHOP0115,P00972,269.85,USD,354,4.1
SHOP0238,P00967,774.22,GBP,135,0.7
SHOP0092,P00435,885.68,GBP,357,1.5
SHOP0441,P00736,378.52,USD,98,4.2
SHOP0119,P00516,719.36,GBP,442,4.6
SHOP0256,P00006,860.11,GBP,109,1.6
SHOP0404,P00172,595.22,EUR,110,2.9
SHOP0231,P00952,687.88,TRY,33,1.3
SHOP0450,P00584,556.67,USD,35,3.0
SHOP0102,P00548,125.87,TRY,59,4.2
SHOP0028,P00428,11.67,GBP,120,1.4
SHOP0284,P00868,660.42,EUR,218,1.9
SHOP0216,P00339,393.68,TRY,398,0.4
SHOP0208,P00741,479.33,GBP,316,0.1
SHOP0296,P00982,894.28,EUR,431,2.1
SHOP0105,P00252,209.03,TRY,491,0.4
SHOP0450,P00362,545.79,TRY,369,2.9
SHOP0421,P00331,923.52,USD,216,3.2
SHOP0014,P00809,456.26,GBP,95,1.4
SHOP0272,P00645,292.88,GBP,391,3.6
SHOP0233,P00489,332.48,GBP,282,4.1
SHOP0097,P00645,656.69,EUR,266,0.9
SHOP0058,P00568,558.58,TRY,406,1.9
SHOP0142,P00143,671.84,GBP,468,4.7
SHOP0219,P00668,122.18,TRY,199,4.4
SHOP0247,P00930,879.54,EUR,196,0.7
SHOP0405,P00571,784.44,EUR,94,3.7
SHOP0396,P00100,526.89,USD,279,2.6
SHOP0306,P00210,721.28,GBP,454,3.5
SHOP0301,P00093,25.45,EUR,161,1.5
SHOP0232,P00631,437.01,USD,205,1.8
SHOP0138,P00531,583.15,TRY,340,2.7
SHOP0086,P00592,805.57,EUR,101,4.3
SHOP0358,P00318,244.55,GBP,258,2.7
SHOP0315,P00264,638.44,EUR,294,4.3
SHOP0018,P00532,671.33,TRY,388,2.0
SHOP0127,P00967,203.55,TRY,187,1.5
SHOP0114,P00141,720.05,USD,373,3.2
SHOP0350,P00718,625.26,USD,150,1.4
SHOP0186,P00110,380.71,EUR,57,4.3
SHOP0157,P00318,616.36,GBP,201,2.4
SHOP0495,P00555,286.94,USD,465,2.4
SHOP0305,P00778,674.79,GBP,218,2.4
SHOP0337,P00267,946.08,USD,472,2.7
SHOP0065,P00809,236.75,GBP,207,2.7
SHOP0453,P00953,303.98,USD,202,1.6
SHOP0114,P00424,134.34,TRY,42,1.5
SHOP0220,P00215,825.73,USD,76,1.5
SHOP0454,P00354,482.11,GBP,476,4.8
SHOP0332,P00442,625.25,EUR,310,1.8
SHOP0398,P00706,852.67,EUR,421,2.3
SHOP0284,P00716,816.65,TRY,455,2.3
SHOP0318,P00565,272.4,USD,374,3.3
SHOP0333,P00495,403.73,EUR,144,2.0
SHOP0321,P00021,500.39,EUR,66,1.8
SHOP0261,P00862,963.44,GBP,61,0.1
SHOP0129,P00232,959.83,USD,165,3.6
SHOP0013,P00803,94.36,EUR,82,0.6
SHOP0471,P00109,111.62,TRY,313,1.7
SHOP0007,P00660,241.29,EUR,458,3.9
SHOP0466,P00889,573.84,EUR,255,1.0
SHOP0077,P00925,979.02,USD,395,0.2
SHOP0161,P00303,494.98,USD,346,1.9
SHOP0154,P00933,369.35,USD,381,4.2
SHOP0059,P00383,62.34,GBP,375,2.5
SHOP0018,P00265,468.81,TRY,71,1.1
SHOP0331,P00479,14.61,TRY,329,1.2
SHOP0125,P00565,820.6,GBP,355,4.0
SHOP0116,P00270,737.01,EUR,40,2.5
SHOP0436,P00517,455.07,EUR,290,4.4
SHOP0212,P00840,166.34,GBP,428,1.3
SHOP0370,P00777,722.06,USD,445,4.7
SHOP0463,P00315,817.46,GBP,448,1.4
SHOP0318,P00453,544.75,GBP,109,4.9
SHOP0059,P00684,520.66,TRY,353,1.1
SHOP0312,P00260,620.0,EUR,23,4.7
SHOP0320,P00864,535.75,EUR,317,0.0
SHOP0283,P00930,532.7,GBP,272,1.9
SHOP0282,P00452,647.63,GBP,107,3.9
